"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2023",,,,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,"Percent change in total enroll-ment, 2006 to 2011",Projected total enrollment,,,,,,"Percent change in total enroll-ment, 2011 to 2023",,,,
,Fall 1990,Fall 2000,Fall 2001,Fall 2002,Fall 2003,Fall 2004,Fall 2005,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2020,Fall 2023,,,,,
  Alaska .........................,"113,903","133,356","134,349","134,364","133,933","132,970","133,288","132,608","131,029","130,662","131,661","132,104","131,167",-1.1,"131,000","132,300","133,400","135,000","147,200","155,200",18.3,,,,
  Arizona ......................,"639,853","877,696","922,180","937,755","1,012,068","1,043,298","1,094,454","1,068,249","1,087,447","1,087,817","1,077,831","1,071,751","1,080,319",1.1,"1,088,500","1,098,800","1,108,300","1,122,600","1,226,000","1,295,500",19.9,,,,
  Arkansas ........................,"436,286","449,959","449,805","450,985","454,523","463,115","474,206","476,409","479,016","478,965","480,559","482,114","483,114",1.4,"486,300","487,300","486,200","484,900","485,700","488,600",1.1,,,,
  California ......................,"4,950,474","6,140,814","6,247,726","6,353,667","6,413,867","6,441,557","6,437,202","6,406,750","6,343,471","6,322,528","6,263,438","6,289,578","6,287,834",-1.9,"6,282,200","6,278,800","6,268,600","6,271,000","6,543,800","6,742,400",7.2,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Colorado .......................,"574,213","724,508","742,145","751,862","757,693","765,976","779,826","794,026","801,867","818,443","832,368","843,316","854,265",7.6,"864,700","874,000","880,700","888,600","931,600","954,000",11.7,,,,
  Connecticut .............,"469,123","562,179","570,228","570,023","577,203","577,390","575,059","575,100","570,626","567,198","563,968","560,546","554,437",-3.6,"548,000","542,700","536,500","532,100","528,500","533,500",-3.8,,,,
  Delaware .......................,"99,658","114,676","115,555","116,342","117,668","119,091","120,937","122,254","122,574","125,430","126,801","129,403","128,946",5.5,"129,500","130,400","131,100","132,100","138,200","140,100",8.7,,,,
  District of Columbia ...........,"80,694","68,925","75,392","76,166","78,057","76,714","76,876","72,850","78,422","68,681","69,433","71,284","73,911",1.5,"74,700","74,200","73,400","73,000","71,900","69,600",-5.8,,,,
  Florida ........................,"1,861,592","2,434,821","2,500,478","2,539,929","2,587,628","2,639,336","2,675,024","2,671,513","2,666,811","2,631,020","2,634,522","2,643,347","2,668,156",-0.1,"2,696,300","2,715,800","2,730,200","2,745,000","2,903,500","3,032,800",13.7,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Georgia ........................,"1,151,687","1,444,937","1,470,634","1,496,012","1,522,611","1,553,437","1,598,461","1,629,157","1,649,589","1,655,792","1,667,685","1,677,067","1,685,016",3.4,"1,695,700","1,704,600","1,707,500","1,712,200","1,760,500","1,809,700",7.4,,,,
  Hawaii ...........................,"171,708","184,360","184,546","183,829","183,609","183,185","182,818","180,728","179,897","179,478","180,196","179,601","182,706",1.1,"182,600","182,600","182,000","181,500","180,600","178,000",-2.6,,,,
  Idaho ........................,"220,840","245,117","246,521","248,604","252,120","256,084","261,982","267,380","272,119","275,051","276,299","275,859","279,873",4.7,"283,000","286,600","289,200","292,500","307,800","314,000",12.2,,,,
  Illinois .........................,"1,821,407","2,048,792","2,071,391","2,084,187","2,100,961","2,097,503","2,111,706","2,118,276","2,112,805","2,119,707","2,104,175","2,091,654","2,083,097",-1.7,"2,084,100","2,077,500","2,069,700","2,067,400","2,061,600","2,053,000",-1.4,,,,
  Indiana ..........................,"954,525","989,267","996,133","1,003,875","1,011,130","1,021,348","1,035,074","1,045,940","1,046,766","1,046,147","1,046,661","1,047,232","1,040,765",-0.5,"1,038,100","1,033,500","1,025,200","1,019,100","1,005,100","1,009,500",-3.0,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Iowa ............................,"483,652","495,080","485,932","482,210","481,226","478,319","483,482","483,122","485,115","487,559","491,842","495,775","495,870",2.6,"498,000","499,500","499,000","499,400","504,100","501,500",1.1,,,,
  Kansas ...........................,"437,034","470,610","470,205","470,957","470,490","469,136","467,525","469,506","468,295","471,060","474,489","483,701","486,108",3.5,"488,000","489,700","490,200","491,700","498,900","499,300",2.7,,,,
  Kentucky .........................,"636,401","665,850","654,363","660,782","663,369","674,796","679,878","683,152","666,225","670,030","680,089","673,128","681,987",-0.2,"683,300","682,300","680,100","679,000","672,600","668,500",-2.0,,,,
  Louisiana .......................,"784,757","743,089","731,328","730,464","727,709","724,281","654,526","675,851","681,038","684,873","690,915","696,558","703,390",4.1,"710,400","712,000","709,700","709,200","697,900","686,300",-2.4,,,,
  Maine ...........................,"215,149","207,037","205,586","204,337","202,084","198,820","195,498","193,986","196,245","192,935","189,225","189,077","188,969",-2.6,"187,500","186,900","186,200","185,900","187,300","187,200",-0.9,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Maryland ........................,"715,176","852,920","860,640","866,743","869,113","865,561","860,020","851,640","845,700","843,861","848,412","852,211","854,086",0.3,"857,600","862,300","866,600","873,000","934,200","969,000",13.5,,,,
  Massachusetts ...................,"834,314","975,150","973,139","982,989","980,459","975,574","971,909","968,661","962,958","958,910","957,053","955,563","953,369",-1.6,"950,300","945,200","938,200","932,600","923,300","926,100",-2.9,,,,
  Michigan .....................,"1,584,431","1,720,626","1,730,669","1,785,160","1,757,604","1,751,290","1,742,282","1,722,656","1,692,739","1,659,921","1,649,082","1,587,067","1,573,537",-8.7,"1,555,400","1,541,400","1,524,100","1,512,600","1,479,200","1,473,300",-6.4,,,,
  Minnesota ......................,"756,374","854,340","851,384","846,891","842,854","838,503","839,243","840,565","837,578","836,048","837,053","838,037","839,738",-0.1,"845,400","850,800","856,500","863,200","913,600","937,700",11.7,,,,
  Mississippi .....................,"502,417","497,871","493,507","492,645","493,540","495,376","494,954","495,026","494,122","491,962","492,481","490,526","490,619",-0.9,"491,700","489,400","486,100","482,900","468,200","458,600",-6.5,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Missouri ........................,"816,558","912,744","909,792","906,499","905,941","905,449","917,705","920,353","917,188","917,871","917,982","918,710","916,584",-0.4,"916,300","916,700","914,400","913,800","923,500","930,000",1.5,,,,
  Montana ........................,"152,974","154,875","151,947","149,995","148,356","146,705","145,416","144,418","142,823","141,899","141,807","141,693","142,349",-1.4,"143,100","143,800","143,900","144,300","147,100","146,800",3.1,,,,
  Nebraska ........................,"274,081","286,199","285,095","285,402","285,542","285,761","286,646","287,580","291,244","292,590","295,368","298,500","301,296",4.8,"304,100","306,200","307,000","308,700","316,700","316,400",5.0,,,,
  Nevada ..........................,"201,316","340,706","356,814","369,498","385,401","400,083","412,395","424,766","429,362","433,371","428,947","437,149","439,634",3.5,"442,300","446,000","449,900","454,900","496,600","534,700",21.6,,,,
  New Hampshire ..................,"172,785","208,461","206,847","207,671","207,417","206,852","205,767","203,572","200,772","197,934","197,140","194,711","191,900",-5.7,"189,000","186,800","184,600","182,700","182,400","186,400",-2.9,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  New Jersey .......................,"1,089,646","1,313,405","1,341,656","1,367,438","1,380,753","1,393,347","1,395,602","1,388,850","1,382,348","1,381,420","1,396,029","1,402,548","1,356,431",-2.3,"1,346,300","1,334,400","1,321,200","1,310,200","1,295,900","1,297,200",-4.4,,,,
  New Mexico ......................,"301,881","320,306","320,260","320,234","323,066","326,102","326,758","328,220","329,040","330,245","334,419","338,122","337,225",2.7,"337,800","339,400","340,200","340,800","342,900","339,600",0.7,,,,
  New York ........................,"2,598,337","2,882,188","2,872,132","2,888,233","2,864,775","2,836,337","2,815,581","2,809,649","2,765,435","2,740,592","2,766,052","2,734,955","2,704,718",-3.7,"2,691,100","2,676,500","2,662,400","2,654,700","2,657,700","2,652,600",-1.9,,,,
  North Carolina .................,"1,086,871","1,293,638","1,315,363","1,335,954","1,360,209","1,385,754","1,416,436","1,444,481","1,489,492","1,488,645","1,483,397","1,490,605","1,507,864",4.4,"1,515,700","1,524,900","1,530,300","1,537,900","1,602,100","1,672,300",10.9,,,,
  North Dakota ....................,"117,825","109,201","106,047","104,225","102,233","100,513","98,283","96,670","95,059","94,728","95,073","96,323","97,646",1.0,"99,100","100,200","101,000","102,000","107,500","107,800",10.4,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Ohio .............................,"1,771,089","1,835,049","1,830,985","1,838,285","1,845,428","1,840,032","1,839,683","1,836,722","1,827,184","1,817,163","1,764,297","1,754,191","1,740,030",-5.3,"1,730,300","1,722,700","1,712,100","1,704,200","1,677,000","1,664,100",-4.4,,,,
  Oklahoma ........................,"579,087","623,110","622,139","624,548","626,160","629,476","634,739","639,391","642,065","645,108","654,802","659,911","666,120",4.2,"673,000","677,000","677,900","679,600","689,000","690,300",3.6,,,,
  Oregon ...........................,"472,394","546,231","551,480","554,071","551,273","552,505","552,194","562,574","565,586","575,393","582,839","570,720","568,208",1.0,"569,900","572,500","573,800","576,600","603,600","626,600",10.3,,,,
  Pennsylvania .......................,"1,667,834","1,814,311","1,821,627","1,816,747","1,821,146","1,828,089","1,830,684","1,871,060","1,801,971","1,775,029","1,785,993","1,793,284","1,771,395",-5.3,"1,758,500","1,751,600","1,744,500","1,742,000","1,761,000","1,772,200", #,,,,
  Rhode Island .....................,"138,813","157,347","158,046","159,205","159,375","156,498","153,422","151,612","147,629","145,342","145,118","143,793","142,854",-5.8,"140,700","139,700","138,900","138,900","142,400","144,700",1.3,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  South Carolina ...................,"622,112","677,411","676,198","694,389","699,198","703,736","701,544","708,021","712,317","718,113","723,143","725,838","727,186",2.7,"734,700","738,800","740,900","744,300","761,100","770,600",6.0,,,,
  South Dakota ....................,"129,164","128,603","127,542","130,048","125,537","122,798","122,012","121,158","121,606","126,429","123,713","126,128","128,016",5.7,"128,300","129,300","129,900","130,600","135,500","135,900",6.2,,,,
  Tennessee .....................,"824,595","909,161","924,899","927,608","936,682","941,091","953,928","978,368","964,259","971,950","972,549","987,422","999,693",2.2,"1,006,500","1,012,600","1,016,700","1,021,400","1,054,200","1,081,100",8.1,,,,
  Texas ..........................,"3,382,887","4,059,619","4,163,447","4,259,823","4,331,751","4,405,215","4,525,394","4,599,509","4,674,832","4,752,148","4,850,210","4,935,715","5,000,470",8.7,"5,072,200","5,135,400","5,178,400","5,226,300","5,511,100","5,669,000",13.4,,,,
  Utah ...........................,"446,652","481,485","484,684","489,262","495,981","503,607","508,430","523,386","576,244","559,778","571,586","585,552","598,832",14.4,"612,500","624,700","634,500","643,500","683,700","704,600",17.7,,,,
,, , , , , , , , , , ,,,,,,,,,,,,,,
  Vermont .........................,"95,762","102,049","101,179","99,978","99,103","98,352","96,638","95,399","94,038","93,625","91,451","96,858","89,908",-5.8,"89,900","89,000","88,200","87,800","89,800","91,200",1.4,,,,
  Virginia .........................,"998,601","1,144,915","1,163,091","1,177,229","1,192,092","1,204,739","1,213,616","1,220,440","1,230,857","1,235,795","1,245,340","1,251,440","1,257,883",3.1,"1,263,200","1,269,100","1,272,700","1,279,200","1,333,000","1,370,300",8.9,,,,
  Washington .......................,"839,709","1,004,770","1,009,200","1,014,798","1,021,349","1,020,005","1,031,985","1,026,774","1,030,247","1,037,018","1,035,347","1,043,788","1,045,453",1.8,"1,049,200","1,052,400","1,055,500","1,061,300","1,124,200","1,177,400",12.6,,,,
  West Virginia ....................,"322,389","286,367","282,885","282,455","281,215","280,129","280,866","281,939","282,535","282,729","282,662","282,879","282,870",0.3,"282,600","280,800","278,000","275,400","262,700","253,100",-10.5,,,,
  Wisconsin ......................,"797,621","879,476","879,361","881,231","880,031","864,757","875,174","876,700","874,633","873,750","872,436","872,286","871,105",-0.6,"869,400","869,300","867,000","867,200","881,300","886,900",1.8,,,,
  Wyoming .........................,"98,226","89,940","88,128","88,116","87,462","84,733","84,409","85,193","86,422","87,161","88,155","89,009","90,099",5.8,"91,900","93,100","94,100","94,800","96,900","94,900",5.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,
  Bureau of Indian , , , , , , , , , , , , , ,,,,,,,,,,,,
     Education ......................,---,"46,938","46,476","46,126","45,828","45,828","50,938",---,---,"40,927","41,351","41,962",---,---,---,---,---,---,---,---,---,,,,
"  DoD, overseas ............",---,"73,581","73,212","72,889","71,053","68,327","62,543","60,891","57,247","56,768",---,---,---,---,---,---,---,---,---,---,---,,,,
"  DoD, domestic .........",---,"34,174","32,847","32,115","30,603","29,151","28,329","26,631","27,548","28,013",---,---,---,---,---,---,---,---,---,---,---,,,,
  Other jurisdictions,, , , , , , , , , , , , ,,,,,,,,,,,,
    American Samoa ...................,"12,463","15,702","15,897","15,984","15,893","16,126","16,438","16,400",---,---,---,---,---,---,---,---,---,---,---,---,---,,,,
    Guam ...........................,"26,391","32,473","31,992",       ---,"31,572","30,605","30,986",---,---,---,---,"31,618","31,243",---,---,---,---,---,---,---,---,,,,
    Northern Marianas ...............,"6,449","10,004","10,479","11,251","11,244","11,601","11,718","11,695","11,299","10,913","10,961","11,105","11,011",-5.8,---,---,---,---,---,---,---,,,,
    Puerto Rico .....................,"644,734","612,725","604,177","596,502","584,916","575,648","563,490","544,138","526,565","503,635","493,393","473,735","452,740",-16.8,---,---,---,---,---,---,---,,,,
    U.S. Virgin Islands ..................,"21,750","19,459","18,780","18,333","17,716","16,429","16,750","16,284","15,903","15,768","15,493","15,495","15,711",-3.5,---,---,---,---,---,---,---,,,,
---Not available.  ,,,,,,,,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: DoD = Department of Defense. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.  ,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1990-91 through 2011-12; and State Public Elementary and Secondary Enrollment Projection Model, 1980 through 2023. (This table was prepared December 2013.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
